Código Produto,Nome Produto,Marca,Modelo,Esférico,Cilíndrico,Eixo
177933,LENTES CNT ACUVUE OASYS AST -0.75 -2.25/170(8.6),ACUVUE,OASYS AST,-0.75,-2.25,170
425909,LENTES CNT ACUVUE OASYS AST -0.75 -2.75/20(8.6),ACUVUE,OASYS AST,-0.75,-2.75,20
178113,LENTES CNT ACUVUE OASYS AST -2.75 -0.75/180(8.6),ACUVUE,OASYS AST,-2.75,-0.75,180
178303,LENTES CNT ACUVUE OASYS AST -7.00 -1.75/170(8.6),ACUVUE,OASYS AST,-7.00,-1.75,170
425830,LENTES CNT ACUVUE OASYS AST -0.25 -2.75/40(8.6),ACUVUE,OASYS AST,-0.25,-2.75,40
426027,LENTES CNT ACUVUE OASYS AST -1.75 -1.75/140(8.6),ACUVUE,OASYS AST,-1.75,-1.75,140
142791,LENTES CNT ACUVUE OASYS +1.75,ACUVUE,OASYS,+1.75,,
396508,LENTES CNT ACUVUE OASYS AST -3.50 -1.25/30(8.6),ACUVUE,OASYS AST,-3.50,-1.25,30
142794,LENTES CNT ACUVUE OASYS +2.50 8.4,ACUVUE,OASYS,+2.50,,
178166,LENTES CNT ACUVUE OASYS AST -3.50 -1.25/170(8.6),ACUVUE,OASYS AST,-3.50,-1.25,170
427253,LENTES CNT ACUVUE OASYS AST -7.00 -2.75/20(8.6),ACUVUE,OASYS AST,-7.00,-2.75,20
178080,LENTES CNT ACUVUE OASYS AST -2.25 -1.75/10(8.6),ACUVUE,OASYS AST,-2.25,-1.75,10
396223,LENTES CNT ACUVUE OASYS AST -2.25 -1.25/20(8.6),ACUVUE,OASYS AST,-2.25,-1.25,20
177987,LENTES CNT ACUVUE OASYS AST -1.25 -2.25/170(8.6),ACUVUE,OASYS AST,-1.25,-2.25,170
177958,LENTES CNT ACUVUE OASYS AST -1.00 -1.75/180(8.6),ACUVUE,OASYS AST,-1.00,-1.75,180
426361,LENTES CNT ACUVUE OASYS AST -3.75 -1.75/80(8.6),ACUVUE,OASYS AST,-3.75,-1.75,80
231846,LENTES CNT ACUVUE OASYS AST -3.75 -1.75/90(8.6),ACUVUE,OASYS AST,-3.75,-1.75,90
426282,LENTES CNT ACUVUE OASYS AST -3.25 -2.75/170(8.6),ACUVUE,OASYS AST,-3.25,-2.75,170
178157,LENTES CNT ACUVUE OASYS AST -3.25 -2.25/10(8.6),ACUVUE,OASYS AST,-3.25,-2.25,10
426611,LENTES CNT ACUVUE OASYS AST -8.50 -1.25/10(8.6),ACUVUE,OASYS AST,-8.50,-1.25,10
426833,LENTES CNT ACUVUE OASYS AST -8.00 -0.75/170(8.6),ACUVUE,OASYS AST,-8.00,-0.75,170
291207,LENTES CNT ACUVUE OASYS AST -1.75 -0.75/20(8.6),ACUVUE,OASYS AST,-1.75,-0.75,20
372292,LENTES CNT ACUVUE OASYS AST -8.00 -1.75/10(8.6),ACUVUE,OASYS AST,-8.00,-1.75,10
170197,LENTES CNT ACUVUE OASYS AST -2.25 -1.75/180(8.6),ACUVUE,OASYS AST,-2.25,-1.75,180
89246,"LENTES CNT ACUVUE 2 -5,75",ACUVUE,2,-5.75,,
426898,LENTES CNT ACUVUE OASYS AST -5.25 -1.75/10(8.6),ACUVUE,OASYS AST,-5.25,-1.75,10
178237,LENTES CNT ACUVUE OASYS AST -4.75 -0.75/180(8.6),ACUVUE,OASYS AST,-4.75,-0.75,180
551935,LENTES CNT 1-D OASYS -2.25 8.5,ACUVUE,OASYS 1 DAY,-2.25,,
551940,LENTES CNT 1-D OASYS -3.50 8.5,ACUVUE,OASYS 1 DAY,-3.50,,
166188,LENTES CNT ACUVUE OASYS AST -3.25 -1.25/10(8.6),ACUVUE,OASYS AST,-3.25,-1.25,10
217393,LENTES CNT ACUVUE OASYS AST -3.00 -1.75/170(8.6),ACUVUE,OASYS AST,-3.00,-1.75,170
89222,"LENTES CNT ACUVUE 2 +8,00",ACUVUE,2,"+8,00",,
340188,LENTES CNT ACUVUE OASYS AST -6.00 -0.75/10(8.6),ACUVUE,OASYS AST,-6.00,-0.75,10
390274,LENTES CNT ACUVUE OASYS AST -6.00 -1.25/170(8.6),ACUVUE,OASYS AST,-6.00,-1.25,170
178140,LENTES CNT ACUVUE OASYS AST -3.00 -1.75/180(8.6),ACUVUE,OASYS AST,-3.00,-1.75,180
178140,LENTES CNT ACUVUE OASYS AST -3.00 -1.75/180(8.6),ACUVUE,OASYS AST,-3.00,-1.75,180
902084,LENTES CNT ACUVUE MOIST -2.00 -2.25/180,ACUVUE,MOIST AST,-2.00,-2.25,180
219931,LENTES CNT ACUVUE OASYS AST -7.00 -1.25/180(8.6),ACUVUE,OASYS AST,-7.00,-1.25,180
396341,LENTES CNT ACUVUE OASYS AST -5.75 -1.75/180(8.6),ACUVUE,OASYS AST,-5.75,-1.75,180
178246,LENTES CNT ACUVUE OASYS AST -4.75 -1.75/180(8.6),ACUVUE,OASYS AST,-4.75,-1.75,180
427047,LENTES CNT ACUVUE OASYS AST -5.75 -2.25/20(8.6),ACUVUE,OASYS AST,-5.75,-2.25,20
178147,LENTES CNT ACUVUE OASYS AST -3.25 -0.75/170(8.6),ACUVUE,OASYS AST,-3.25,-0.75,170
142839,LENTES CNT ACUVUE OASYS -8.00,ACUVUE,OASYS,-8.00,,
551941,LENTES CNT 1-D OASYS -3.75,ACUVUE,OASYS 1 DAY,-3.75,,
142813,LENTES CNT ACUVUE OASYS -0.50 8.4,ACUVUE,OASYS,-0.50,,
551926,LENTES CNT 1-D OASYS -1.25 8.5,ACUVUE,OASYS 1 DAY,-1.25,,
551942,LENTES CNT 1-D OASYS -4.00 8.5,ACUVUE,OASYS 1 DAY,-4.00,,
426074,LENTES CNT ACUVUE OASYS AST -2.00 -2.75/180(8.6),ACUVUE,OASYS AST,-2.00,-2.75,180
178304,LENTES CNT ACUVUE OASYS AST -7.00 -1.75/180(8.6),ACUVUE,OASYS AST,-7.00,-1.75,180
178302,LENTES CNT ACUVUE OASYS AST -7.00 -1.25/10(8.6),ACUVUE,OASYS AST,-7.00,-1.25,10
551925,LENTES CNT 1-D OASYS -1.00 8.5,ACUVUE,OASYS 1 DAY,-1.00,,
426110,LENTES CNT ACUVUE OASYS AST -2.25 -2.75/10(8.6),ACUVUE,OASYS AST,-2.25,-2.75,10
178035,LENTES CNT ACUVUE OASYS AST -1.75 -2.25/20 8.6,ACUVUE,OASYS AST,-1.75,-2.25,20
426110,LENTES CNT ACUVUE OASYS AST -2.25 -2.75/10(8.6),ACUVUE,OASYS AST,-2.25,-2.75,10
551940,LENTES CNT 1-D OASYS -3.50 8.5,ACUVUE,OASYS 1 DAY,-3.50,,
551940,LENTES CNT 1-D OASYS -3.50 8.5,ACUVUE,OASYS 1 DAY,-3.50,,
551940,LENTES CNT 1-D OASYS -3.50 8.5,ACUVUE,OASYS 1 DAY,-3.50,,
551936,LENTES CNT 1-D OASYS -2.50,ACUVUE,OASYS 1 DAY,-2.50,,
551940,LENTES CNT 1-D OASYS -3.50 8.5,ACUVUE,OASYS 1 DAY,-3.50,,
426381,LENTES CNT ACUVUE OASYS AST -3.75 -2.75/180(8.6),ACUVUE,OASYS AST,-3.75,-2.75,180
426331,LENTES CNT ACUVUE OASYS AST -3.50 -2.75/180(8.6),ACUVUE,OASYS AST,-3.50,-2.75,180
551935,LENTES CNT 1-D OASYS -2.25 8.5,ACUVUE,OASYS 1 DAY,-2.25,,
89199,"LENTES CNT ACUVUE 2 +1,25 8.7",ACUVUE,OASYS 1 DAY,"+1,25",,
178010,LENTES CNT ACUVUE OASYS AST -1.50 -2.25/10(8.6),ACUVUE,OASYS AST,-1.50,-2.25,10
178269,LENTES CNT ACUVUE OASYS AST -5.50 -1.25/160(8.6),ACUVUE,OASYS AST,-5.50,-1.25,160
286880,LENTES CNT ACUVUE OASYS AST -5.25 -1.25/10(8.6),ACUVUE,OASYS AST,-5.25,-1.25,10
551935,LENTES CNT 1-D OASYS -2.25 8.5,ACUVUE,OASYS 1 DAY,-2.25,,
178207,LENTES CNT ACUVUE OASYS AST -4.00 -2.25/10(8.6),ACUVUE,OASYS AST,-4.00,-2.25,10
178161,LENTES CNT ACUVUE OASYS AST -3.50 -0.75/160(8.6),ACUVUE,OASYS AST,-3.50,-0.75,160
551941,LENTES CNT 1-D OASYS -3.75,ACUVUE,OASYS 1 DAY,-3.75,,
178084,LENTES CNT ACUVUE OASYS AST -2.25 -2.25/160(8.6),ACUVUE,OASYS AST,-2.25,-2.25,160
211103,LENTES CNT ACUVUE OASYS AST -2.75 -1.25/50(8.6),ACUVUE,OASYS AST,-2.75,-1.25,50
902084,LENTES CNT ACUVUE MOIST -2.00 -2.25/180,ACUVUE,MOIST AST,-2.00,-2.25,180
551946,LENTES CNT 1-D OASYS -5.00,ACUVUE,OASYS 1 DAY,-5.00,,
426275,LENTES CNT ACUVUE OASYS AST -3.25 -2.75/100(8.6),ACUVUE,OASYS AST,-3.25,-2.75,100
419159,LENTES CNT ACUVUE OASYS AST -3.00 -2.75/10(8.6),ACUVUE,OASYS AST,-3.00,-2.75,10
902084,LENTES CNT ACUVUE MOIST -2.00 -2.25/180,ACUVUE,MOIST AST,-2.00,-2.25,180
902084,LENTES CNT ACUVUE MOIST -2.00 -2.25/180,ACUVUE,MOIST AST,-2.00,-2.25,180
902084,LENTES CNT ACUVUE MOIST -2.00 -2.25/180,ACUVUE,MOIST AST,-2.00,-2.25,180
551925,LENTES CNT 1-D OASYS -1.00 8.5,ACUVUE,OASYS 1 DAY,-1.00,,
551925,LENTES CNT 1-D OASYS -1.00 8.5,ACUVUE,OASYS 1 DAY,-1.00,,
551925,LENTES CNT 1-D OASYS -1.00 8.5,ACUVUE,OASYS 1 DAY,-1.00,,
177810,LENTES CNT ACUVUE OASYS AST +0.00 -0.75/90(8.6),ACUVUE,OASYS AST,+0.00,-0.75,90
551925,LENTES CNT 1-D OASYS -1.00 8.5,ACUVUE,OASYS 1 DAY,-1.00,,
551936,LENTES CNT 1-D OASYS -2.50,ACUVUE,OASYS 1 DAY,-2.50,,
178186,LENTES CNT ACUVUE OASYS AST -3.75 -1.75/10(8.6),ACUVUE,OASYS AST,-3.75,-1.75,10
188470,LENTES CNT ACUVUE OASYS AST -3.75 -1.75/170(8.6),ACUVUE,OASYS AST,-3.75,-1.75,170
142792,LENTES CNT ACUVUE OASYS +2.00,ACUVUE,OASYS,+2.00,,
551949,LENTES CNT 1-D OASYS -5.75 8.5,ACUVUE,OASYS 1 DAY,-5.75,,
551928,LENTES CNT 1-D OASYS -1.75 8.5,ACUVUE,OASYS 1 DAY,-1.75,,
551935,LENTES CNT 1-D OASYS -2.25 8.5,ACUVUE,OASYS 1 DAY,-2.25,,
425861,LENTES CNT ACUVUE OASYS AST -0.50 -2.75/110(8.6),ACUVUE,OASYS AST,-0.50,-2.75,110
425861,LENTES CNT ACUVUE OASYS AST -0.50 -2.75/110(8.6),ACUVUE,OASYS AST,-0.50,-2.75,110
425984,LENTES CNT ACUVUE OASYS AST -1.25 -2.75/60(8.6),ACUVUE,OASYS AST,-1.25,-2.75,60
142795,LENTES CNT ACUVUE OASYS +2.75,ACUVUE,OASYS,+2.75,,
142813,LENTES CNT ACUVUE OASYS -0.50 8.4,ACUVUE,OASYS,-0.50,,
89249,"LENTES CNT ACUVUE 2 -7,00 8.7",ACUVUE,2,-7,,
177976,LENTES CNT ACUVUE OASYS AST -1.25 -1.25/170(8.6),ACUVUE,OASYS AST,-1.25,-1.25,170
177807,LENTES CNT ACUVUE OASYS AST +0.00 -0.75/170(8.6),ACUVUE,OASYS AST,+0.00,-0.75,170
142813,LENTES CNT ACUVUE OASYS -0.50 8.4,ACUVUE,OASYS,-0.50,,
426816,LENTES CNT ACUVUE OASYS AST -7.50 -2.75/160(8.6),ACUVUE,OASYS AST,-7.50,-2.75,160
426425,LENTES CNT ACUVUE OASYS AST -4.00 -2.75/30(8.6),ACUVUE,OASYS AST,-4.00,-2.75,30
551941,LENTES CNT 1-D OASYS -3.75,ACUVUE,OASYS 1 DAY,-3.75,,
551926,LENTES CNT 1-D OASYS -1.25 8.5,ACUVUE,OASYS 1 DAY,-1.25,,
551940,LENTES CNT 1-D OASYS -3.50 8.5,ACUVUE,OASYS 1 DAY,-3.50,,
326567,LENTES CNT 1 DAY MOIST AST 1DMA -5.50-1.75/160 (8.,ACUVUE,OASYS 1 DAY MOIST AST,-5.50,AST,
318651,LENTES CNT 1 DAY MOIST AST 1DMA -5.00-0.75/170 (8.,ACUVUE,OASYS 1 DAY MOIST AST,-5.00,AST,
178319,LENTES CNT ACUVUE OASYS AST -9.00 -1.25/180(8.6),ACUVUE,OASYS AST,-9.00,-1.25,180
142792,LENTES CNT ACUVUE OASYS +2.00,ACUVUE,OASYS,+2.00,,
551924,LENTES CNT 1-D OASYS -0.75 (8.5),ACUVUE,OASYS 1 DAY,-0.75,,
551926,LENTES CNT 1-D OASYS -1.25 8.5,ACUVUE,OASYS 1 DAY,-1.25,,
551924,LENTES CNT 1-D OASYS -0.75 (8.5),ACUVUE,OASYS 1 DAY,-0.75,,
178078,LENTES CNT ACUVUE OASYS AST -2.25 -1.25/170(8.6),ACUVUE,OASYS AST,-2.25,-1.25,170
551950,LENTES CNT 1-D OASYS -6.00 8.5,ACUVUE,OASYS 1 DAY,-6.00,,
551940,LENTES CNT 1-D OASYS -3.50 8.5,ACUVUE,OASYS 1 DAY,-3.50,,
551951,LENTES CNT 1D OASYS -6.50,ACUVUE,OASYS 1 DAY,-6.50,,
551936,LENTES CNT 1-D OASYS -2.50,ACUVUE,OASYS 1 DAY,-2.50,,
170257,LENTES CNT ACUVUE OASYS AST +0.00 -0.75/180(8.6),ACUVUE,OASYS AST,+0.00,-0.75,180
551928,LENTES CNT 1-D OASYS -1.75 8.5,ACUVUE,OASYS 1 DAY,-1.75,,
396340,LENTES CNT ACUVUE OASYS AST -5.75 -1.75/170(8.6),ACUVUE,OASYS AST,-5.75,-1.75,170
301878,LENTES CNT ACUVUE OASYS AST -4.50 -1.75/20(8.6),ACUVUE,OASYS AST,-4.50,-1.75,20
551948,LENTES CNT 1-D OASYS -5.50 8.5,ACUVUE,OASYS 1 DAY,-5.50,,
551950,LENTES CNT 1-D OASYS -6.00 8.5,ACUVUE,OASYS 1 DAY,-6.00,,
551950,LENTES CNT 1-D OASYS -6.00 8.5,ACUVUE,OASYS 1 DAY,-6.00,,
142797,LENTES CNT ACUVUE OASYS +3.25,ACUVUE,OASYS,+3.25,,
551926,LENTES CNT 1-D OASYS -1.25 8.5,ACUVUE,OASYS 1 DAY,-1.25,,
551942,LENTES CNT 1-D OASYS -4.00 8.5,ACUVUE,OASYS 1 DAY,-4.00,,
426766,LENTES CNT ACUVUE OASYS AST -5.00 -2.75/170(8.6),ACUVUE,OASYS AST,-5.00,-2.75,170
355453,LENTES CNT ACUVUE OASYS AST -5.00 -2.25/180(8.6),ACUVUE,OASYS AST,-5.00,-2.25,180
178164,LENTES CNT ACUVUE OASYS AST -3.50 -1.25/10(8.6),ACUVUE,OASYS AST,-3.50,-1.25,10
551941,LENTES CNT 1-D OASYS -3.75,ACUVUE,OASYS 1 DAY,-3.75,,
551954,LENTES CNT 1-D OASYS -8.00,ACUVUE,OASYS 1 DAY,-8.00,,
551936,LENTES CNT 1-D OASYS -2.50,ACUVUE,OASYS 1 DAY,-2.50,,
170192,LENTES CNT ACUVUE OASYS AST -4.00 -0.75/150(8.6),ACUVUE,OASYS AST,-4.00,-0.75,150
426343,LENTES CNT ACUVUE OASYS AST -3.75 -0.75/60(8.6),ACUVUE,OASYS AST,-3.75,-0.75,60
551942,LENTES CNT 1-D OASYS -4.00 8.5,ACUVUE,OASYS 1 DAY,-4.00,,
366328,LENTES CNT ACUVUE OASYS AST -5.50 -1.75/180(8.6),ACUVUE,OASYS AST,-5.50,-1.75,180
551947,LENTES CNT 1-D OASYS -5.25,ACUVUE,OASYS 1 DAY,-5.25,,
551946,LENTES CNT 1-D OASYS -5.00,ACUVUE,OASYS 1 DAY,-5.00,,
551936,LENTES CNT 1-D OASYS -2.50,ACUVUE,OASYS 1 DAY,-2.50,,
551925,LENTES CNT 1-D OASYS -1.00 8.5,ACUVUE,OASYS 1 DAY,-1.00,,
166227,LENTES CNT ACUVUE OASYS AST -4.75 -0.75/170(8.6),ACUVUE,OASYS AST,-4.75,-0.75,170
178092,LENTES CNT ACUVUE OASYS AST -2.50 -0.75/30(8.6),ACUVUE,OASYS AST,-2.50,-0.75,30
424057,LENTES CNT ACUVUE OASYS AST +0.75 -2.75/90(8.6),ACUVUE,OASYS AST,+0.75,-2.75,90
418173,LENTES CNT ACUVUE OASYS AST -2.00 -0.75/50(8.6),ACUVUE,OASYS AST,-2.00,-0.75,50
418173,LENTES CNT ACUVUE OASYS AST -2.00 -0.75/50(8.6),ACUVUE,OASYS AST,-2.00,-0.75,50
551941,LENTES CNT 1-D OASYS -3.75,ACUVUE,OASYS 1 DAY,-3.75,,
551926,LENTES CNT 1-D OASYS -1.25 8.5,ACUVUE,OASYS 1 DAY,-1.25,,
551947,LENTES CNT 1-D OASYS -5.25,ACUVUE,OASYS 1 DAY,-5.25,,
551942,LENTES CNT 1-D OASYS -4.00 8.5,ACUVUE,OASYS 1 DAY,-4.00,,
551946,LENTES CNT 1-D OASYS -5.00,ACUVUE,OASYS 1 DAY,-5.00,,
551950,LENTES CNT 1-D OASYS -6.00 8.5,ACUVUE,OASYS 1 DAY,-6.00,,
418787,LENTES CNT ACUVUE OASYS AST -1.75 -1.25/30(8.6),ACUVUE,OASYS AST,-1.75,-1.25,30
178090,LENTES CNT ACUVUE OASYS AST -2.50 -0.75/170(8.6),ACUVUE,OASYS AST,-2.50,-0.75,170
178175,LENTES CNT ACUVUE OASYS AST -3.50 -2.25/170(8.6),ACUVUE,OASYS AST,-3.50,-2.25,170
424971,LENTES CNT ACUVUE OASYS AST +3.75 -2.25/20(8.6),ACUVUE,OASYS AST,+3.75,-2.25,20
142798,LENTES CNT ACUVUE OASYS +3.50,ACUVUE,OASYS,+3.50,,
178168,LENTES CNT ACUVUE OASYS AST -3.50 -1.75/10(8.6),ACUVUE,OASYS AST,-3.50,-1.75,10
551936,LENTES CNT 1-D OASYS -2.50,ACUVUE,OASYS 1 DAY,-2.50,,
551940,LENTES CNT 1-D OASYS -3.50 8.5,ACUVUE,OASYS 1 DAY,-3.50,,
551941,LENTES CNT 1-D OASYS -3.75,ACUVUE,OASYS 1 DAY,-3.75,,
551926,LENTES CNT 1-D OASYS -1.25 8.5,ACUVUE,OASYS 1 DAY,-1.25,,
551950,LENTES CNT 1-D OASYS -6.00 8.5,ACUVUE,OASYS 1 DAY,-6.00,,
911408,LENTES CNT 1-D OASYS AST +1.00 -0.75/180,ACUVUE,OASYS 1 DAY AST,+1.00,-0.75,180
551897,LENTES CNT 1-D OASYS +0.75,ACUVUE,OASYS 1 DAY,+0.75,,
426331,LENTES CNT ACUVUE OASYS AST -3.50 -2.75/180(8.6),ACUVUE,OASYS AST,-3.50,-2.75,180
426283,LENTES CNT ACUVUE OASYS AST -3.25 -2.75/180(8.6),ACUVUE,OASYS AST,-3.25,-2.75,180
426331,LENTES CNT ACUVUE OASYS AST -3.50 -2.75/180(8.6),ACUVUE,OASYS AST,-3.50,-2.75,180
178013,LENTES CNT ACUVUE OASYS AST -1.50 -2.25/20(8.6),ACUVUE,OASYS AST,-1.50,-2.25,20
395148,LENTES CNT ACUVUE OASYS AST -1.50 -2.75/170(8.6),ACUVUE,OASYS AST,-1.50,-2.75,170
427092,LENTES CNT ACUVUE OASYS AST -6.00 -1.75/130(8.6),ACUVUE,OASYS AST,-6.00,-1.75,130
551928,LENTES CNT 1-D OASYS -1.75 8.5,ACUVUE,OASYS 1 DAY,-1.75,,
426402,LENTES CNT ACUVUE OASYS AST -4.00 -1.75/60(8.6),ACUVUE,OASYS AST,-4.00,-1.75,60
178196,LENTES CNT ACUVUE OASYS AST -4.00 -1.25/170(8.6),ACUVUE,OASYS AST,-4.00,-1.25,170
178193,LENTES CNT ACUVUE OASYS AST -4.00 -0.75/180(8.6),ACUVUE,OASYS AST,-4.00,-0.75,180
551940,LENTES CNT 1-D OASYS -3.50 8.5,ACUVUE,OASYS 1 DAY,-3.50,,
178193,LENTES CNT ACUVUE OASYS AST -4.00 -0.75/180(8.6),ACUVUE,OASYS AST,-4.00,-0.75,180
426493,LENTES CNT ACUVUE OASYS AST -4.50 -0.75/150(8.6),ACUVUE,OASYS AST,-4.50,-0.75,150
551935,LENTES CNT 1-D OASYS -2.25 8.5,ACUVUE,OASYS 1 DAY,-2.25,,
177957,LENTES CNT ACUVUE OASYS AST -1.00 -1.75/170(8.6),ACUVUE,OASYS AST,-1.00,-1.75,170
551942,LENTES CNT 1-D OASYS -4.00 8.5,ACUVUE,OASYS 1 DAY,-4.00,,
218354,LENTES CNT ACUVUE OASYS AST -5.00 -1.25/10(8.6),ACUVUE,OASYS AST,-5.00,-1.25,10
178254,LENTES CNT ACUVUE OASYS AST -5.00 -1.25/160(8.6),ACUVUE,OASYS AST,-5.00,-1.25,160
551925,LENTES CNT 1-D OASYS -1.00 8.5,ACUVUE,OASYS 1 DAY,-1.00,,
551935,LENTES CNT 1-D OASYS -2.25 8.5,ACUVUE,OASYS 1 DAY,-2.25,,
551936,LENTES CNT 1-D OASYS -2.50,ACUVUE,OASYS 1 DAY,-2.50,,
551924,LENTES CNT 1-D OASYS -0.75 (8.5),ACUVUE,OASYS 1 DAY,-0.75,,
551936,LENTES CNT 1-D OASYS -2.50,ACUVUE,OASYS 1 DAY,-2.50,,
551936,LENTES CNT 1-D OASYS -2.50,ACUVUE,OASYS 1 DAY,-2.50,,
551936,LENTES CNT 1-D OASYS -2.50,ACUVUE,OASYS 1 DAY,-2.50,,
551935,LENTES CNT 1-D OASYS -2.25 8.5,ACUVUE,OASYS 1 DAY,-2.25,,
178082,LENTES CNT ACUVUE OASYS AST -2.25 -1.75/170(8.6),ACUVUE,OASYS AST,-2.25,-1.75,170
178082,LENTES CNT ACUVUE OASYS AST -2.25 -1.75/170(8.6),ACUVUE,OASYS AST,-2.25,-1.75,170
324701,LENTES CNT ACUVUE OASYS AST -3.25 -1.25/90(8.6),ACUVUE,OASYS AST,-3.25,-1.25,90
178118,LENTES CNT ACUVUE OASYS AST -2.75 -1.25/80(8.6),ACUVUE,OASYS AST,-2.75,-1.25,80
177966,LENTES CNT ACUVUE OASYS AST -1.25 -0.75/100 8.6,ACUVUE,OASYS AST,-1.25,-0.75,100
340188,LENTES CNT ACUVUE OASYS AST -6.00 -0.75/10(8.6),ACUVUE,OASYS AST,-6.00,-0.75,10
390274,LENTES CNT ACUVUE OASYS AST -6.00 -1.25/170(8.6),ACUVUE,OASYS AST,-6.00,-1.25,170
424971,LENTES CNT ACUVUE OASYS AST +3.75 -2.25/20(8.6),ACUVUE,OASYS AST,+3.75,-2.25,20
424971,LENTES CNT ACUVUE OASYS AST +3.75 -2.25/20(8.6),ACUVUE,OASYS AST,+3.75,-2.25,20
142798,LENTES CNT ACUVUE OASYS +3.50,ACUVUE,OASYS,+3.50,,
551925,LENTES CNT 1-D OASYS -1.00 8.5,ACUVUE,OASYS 1 DAY,-1.00,,
551936,LENTES CNT 1-D OASYS -2.50,ACUVUE,OASYS 1 DAY,-2.50,,